snapshot_time,username,followers,story_total_reads,story_total_votes,story_total_comments,parts_published,account_votes_received,account_stories_published
2026-07-20T08:00:33+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T10:00:27+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T11:00:30+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T12:00:28+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T13:00:28+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T14:00:29+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T15:00:32+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T16:00:34+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T17:00:32+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T18:00:32+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T19:00:32+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T20:00:37+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T21:00:32+08:00,KeEdward,0,0,0,0,1,0,2
2026-07-20T22:00:35+08:00,KeEdward,0,0,0,0,2,0,2
2026-07-20T23:00:39+08:00,KeEdward,0,1,0,1,2,0,2
2026-07-21T00:00:32+08:00,KeEdward,0,1,0,1,2,0,2
2026-07-21T01:00:33+08:00,KeEdward,0,1,0,1,2,0,2
2026-07-21T02:00:38+08:00,KeEdward,0,1,0,1,2,0,2
2026-07-21T03:00:33+08:00,KeEdward,0,1,0,1,2,0,2
2026-07-21T04:00:35+08:00,KeEdward,0,1,0,1,2,0,2
2026-07-21T05:00:32+08:00,KeEdward,0,1,0,1,2,0,2
2026-07-21T06:00:31+08:00,KeEdward,0,2,0,1,2,0,2
2026-07-21T07:00:31+08:00,KeEdward,0,2,0,1,2,0,2
2026-07-21T08:00:33+08:00,KeEdward,0,3,0,1,2,0,2
2026-07-21T09:00:28+08:00,KeEdward,0,3,0,1,2,0,2
2026-07-21T10:00:34+08:00,KeEdward,0,3,0,1,2,0,2
2026-07-21T11:00:32+08:00,KeEdward,0,3,0,1,2,0,2
2026-07-21T12:00:36+08:00,KeEdward,0,3,0,1,3,0,2
2026-07-21T13:00:32+08:00,KeEdward,0,3,0,1,3,0,2
2026-07-21T14:00:31+08:00,KeEdward,0,3,0,1,3,0,2
2026-07-21T15:00:35+08:00,KeEdward,0,3,0,1,3,0,2
2026-07-21T16:00:37+08:00,KeEdward,0,3,0,1,3,0,2
2026-07-21T17:00:38+08:00,KeEdward,0,3,0,1,3,0,2
2026-07-21T18:00:38+08:00,KeEdward,0,3,0,1,3,0,2
2026-07-21T19:00:37+08:00,KeEdward,0,3,0,1,3,0,2
2026-07-21T20:00:42+08:00,KeEdward,0,3,0,1,3,0,2
2026-07-21T21:00:42+08:00,KeEdward,0,4,0,1,3,0,2
2026-07-21T22:00:34+08:00,KeEdward,0,4,0,1,3,0,2
2026-07-21T23:00:39+08:00,KeEdward,0,4,0,1,3,0,2
2026-07-22T00:00:42+08:00,KeEdward,0,4,0,1,3,0,2
2026-07-22T01:00:37+08:00,KeEdward,0,4,0,1,3,0,2
2026-07-22T02:00:37+08:00,KeEdward,0,4,0,1,4,0,2
2026-07-22T03:00:35+08:00,KeEdward,0,5,1,1,4,1,2
2026-07-22T04:00:34+08:00,KeEdward,0,6,1,2,4,1,2
2026-07-22T05:00:36+08:00,KeEdward,0,6,1,2,4,1,2
2026-07-22T06:00:29+08:00,KeEdward,0,7,1,2,4,1,2
2026-07-22T07:00:31+08:00,KeEdward,0,7,1,2,4,1,2
2026-07-22T08:00:36+08:00,KeEdward,0,7,1,2,4,1,2
2026-07-22T09:00:33+08:00,KeEdward,0,7,1,2,4,1,2
2026-07-22T10:00:30+08:00,KeEdward,0,8,1,2,4,1,2
2026-07-22T11:00:32+08:00,KeEdward,0,8,1,2,4,1,2
2026-07-22T12:00:29+08:00,KeEdward,0,12,1,2,4,1,2
2026-07-22T13:00:31+08:00,KeEdward,0,13,1,2,4,1,2
2026-07-22T14:00:32+08:00,KeEdward,0,13,1,2,4,1,2
2026-07-22T15:00:37+08:00,KeEdward,0,13,1,2,4,1,2
2026-07-22T16:00:33+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-22T17:00:34+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-22T18:00:38+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-22T19:00:35+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-22T20:00:40+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-22T21:00:43+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-22T22:00:37+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-22T23:00:42+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-23T00:00:46+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-23T01:00:33+08:00,KeEdward,0,13,1,2,5,1,2
2026-07-23T02:00:36+08:00,KeEdward,0,14,1,0,5,1,2
2026-07-23T03:00:36+08:00,KeEdward,0,14,1,0,5,1,2
2026-07-23T04:00:35+08:00,KeEdward,0,14,1,0,5,1,2
2026-07-23T05:00:38+08:00,KeEdward,0,14,1,0,5,1,2
2026-07-23T06:00:36+08:00,KeEdward,0,15,1,0,6,1,2
2026-07-23T07:00:32+08:00,KeEdward,0,15,1,0,6,1,2
2026-07-23T08:00:34+08:00,KeEdward,0,15,1,0,6,1,2
2026-07-23T09:00:30+08:00,KeEdward,0,16,1,1,6,1,2
